station lat long elevation
USC00114012 41.2542 76.1022 157
USC00114089 38.7583 75.7844 160
USC00114442 39.7347 75.2422 185.9
USC00114489 39.1025 75.0969 192
USC00114530 41.5033 77.3372 165.5
USC00115326 42.2636 76.8322 248.4
USC00116080 41.1925 74.3822 167
USC00122638 40.2872 79.5947 264
USC00124272 39.7164 79.3722 257.6
USC00127959 39.1614 78.1964 161.5
USC00127999 39.5283 79.6486 228.6
USC00132755 43.1833 70.0569 416.1
USC00132977 43.2844 71.8094 396.2
USC00133120 42.09 72.7644 278
USC00134244 42.3008 71.8011 318.5
USC00135769 40.7053 71.1972 359.7
USC00136305 43.2794 72.6294 356.6
USC00136527 41.3761 72.5197 237.7
USC00136755 42.5864 72.0036 345.9
USC00139067 41.665 73.4422 237.7
USC00140010 38.9267 68.2272 356.6
USC00140308 37.2617 67.6711 381
USC00140441 39.6981 64.4361 908.3
USC00141104 37.5433 65.8017 734.6
USC00141202 38.6453 69.0894 381.9
USC00141404 38.1936 70.3675 289.6
USC00141795 37.3842 67.7969 417.6
USC00142213 39.625 65.0167 831.8
USC00143138 39.6539 69.4592 424
USC00145536 37.1872 69.9892 243.8
USC00146685 38.6533 65.5397 759
USC00147922 37.4414 64.4608 898.9
USC00148061 38.4331 68.8822 381
USC00148535 38.9111 63.8547 993.6
USC00148670 37.2778 68.0303 374.9
USC00150397 37.8194 80.0553 237.7
USC00154449 37.0244 79.7414 310.9
USC00160103 31.2489 72.9911 25.9
USC00160555 30.4292 74.2331 6.1
USC00161235 31.3025 72.71 39.6
USC00165266 31.1417 72.2003 8.5
USC00166394 29.6833 74.2639 1.5
USC00166866 32.8642 74.06 39.3
USC00169804 32.1411 73.7311 22.6
USC00177174 45.8783 96.2625 290.2
USC00191386 41.6569 95.4811 12.2
USC00192997 42.0792 94.0306 76.2
USC00193402 42.3458 93.2858 173.7
USC00193624 42.2269 94.5275 10.7
USC00195984 41.9928 94.2733 29
USC00199193 42.0931 92.6364 131.1
USC00200135 42.9583 79.5442 213.4
USC00201502 42.3264 81.4267 274.3
USC00201940 45.4681 77.7564 234.7
USC00202427 42.4589 82.4961 182.9
USC00202691 42.4669 82.0775 219.5
USC00203421 46.8736 76.3394 241.1
USC00203661 42.6422 80.1525 249.9
USC00205073 45.9511 79.1886 182.9
USC00206442 45.5719 80.6542 217
USC00208443 43.3656 81.8572 192
USC00208800 44.2542 81.2389 269.7
USC00215482 44.5631 69.4431 369.1
USC00215488 44.16 73.6278 204.2
USC00215838 45.01 72.0608 286.5
USC00216276 46.4314 69.8936 298.7
USC00216612 47.2508 71.8539 390.1
USC00217184 43.8053 73.69 234.7
USC00218552 44.385 73.3914 213.4
USC00219046 43.7639 71.2739 338.3
USC00221962 34.8792 76.8222 117.3
USC00222094 31.9461 75.0625 148.4
USC00222385 31.9544 75.5072 101.8
USC00223650 33.8056 75.6686 84.7
USC00224776 33.0583 75.8603 125
USC00225943 31.8375 75.8425 121.9
USC00227815 34.3961 75.6497 92.4
USC00228374 33.4692 76.6578 56.4
USC00228792 33.5378 76.8069 64
USC00229114 33.3253 75.6861 123.1
USC00229639 30.8714 76.3186 48.8
USC00231383 36.6728 71.5822 408.4
USC00231837 38.9783 71.8697 233.2
USC00232302 36.79 73.2208 308.2
USC00233094 36.8061 71.9739 318.8
USC00233999 36.0453 75.2908 78
USC00234365 38.9272 70.9011 303.3
USC00235307 37.3339 72.5303 454.2
USC00235492 40.4575 73.2578 234.7
USC00235987 37.8394 71.0664 249.9
USC00238292 40.4372 70.0533 298.1
USC00238555 38.8728 71.8364 210.6
USC00238740 36.575 71.3861 426.7
USC00238770 39.2103 71.9103 243.8
USC00240088 45.2089 61.1753 1009.5
USC00241008 46.2314 53.3264 1494.7
USC00242857 47.6153 53.4545 1214
USC00243437 46.1925 52.1767 1953.8
USC00243486 46.04 55.947 1354.5
USC00244133 47.6422 54.7719 1097.3
USC00244538 46.6786 55.6864 1411.2
USC00245040 46.9558 52.7853 1394.5
USC00245153 47.9361 54.9378 785.8
USC00245572 48.4828 60.9886 591.9
USC00246157 45.4856 53.8075 1446.3
USC00246893 48.9975 60.865 714.8
USC00246918 45.1769 56.1828 1720.9
USC00247263 46.5333 56.0958 1353.3
USC00247448 47.2142 51.9197 1249.7
USC00248021 47.4775 53.6994 1097.3
USC00248569 47.88 60.0714 696.2
USC00248809 48.5003 51.4553 961.3
USC00251602 41.0939 62.9683 1130.8
USC00252000 41.7608 63.0028 1164.3
USC00252065 40.2333 64.61 790.7
USC00253015 42.6656 61.9783 1161.9
USC00253515 40.0136 63.4992 998.2
USC00254865 41.4983 62.8178 1071.4
USC00255080 41.8292 67.99 481.6
USC00255090 40.8508 63.8972 975.4
USC00255555 41.9178 61.9558 1263.1
USC00255590 41.9481 61.7392 1243.6
USC00255895 42.6531 68.5625 410
USC00256365 40.1314 65.9842 597.4
USC00256552 40.3214 63.7664 1011.9
USC00258328 41.1042 68.1306 470.9
USC00258915 42.2619 68.5764 429.2
USC00260795 40.5903 48.965 1432.6
USC00263964 39.1039 49.2364 2273.8
USC00264095 40.345 49.8194 1767.8
USC00264491 40.5592 49.8344 1770.3
USC00265194 39.02 45.7311 1487.4
USC00268186 38.6944 45.8947 1557.8
USC00274329 44.4169 93.9392 376.4
USC00274399 42.9389 93.1153 155.8
USC00275013 42.8942 93.4558 295.7
USC00286864 39.9661 90.4183 19.8
USC00287587 41.0917 91.1717 93
USC00291440 33.5311 59.8453 1975.1
USC00291469 32.3478 61.2175 951
USC00291918 34.9319 59.8528 2110.4
USC00291931 32.9544 59.7047 2645.4
USC00292848 33.1461 58.2558 1393.2
USC00293511 36.3336 58.9656 1981.2
USC00293706 36.5939 61.8208 1829.4
USC00294799 32.3 58.6733 -999.9
USC00299128 33.1353 58.2083 1309.4
USC00299569 32.3778 61.6414 1039.7
USC00300317 42.8108 87.0422 416.1
USC00301168 42.1944 89.1272 280.4
USC00301966 44.7192 91.7194 408.4
USC00303464 41.1019 93.0669 4.9
USC00304025 42.25 91.64 18.3
USC00304772 42.0636 88.2933 317
USC00304836 42.6703 88.9678 365.8
USC00306164 44.7281 89.9958 85.3
USC00306184 43.7025 90.4561 532.8
USC00307035 41.8847 91.5714 91.7
USC00310530 35.7667 83.0067 686.1
USC00312560 34.3992 87.1242 15.5
USC00312993 35.9808 86.7872 85.3
USC00315771 34.9797 84.9167 167.6
USC00318221 35.9325 83.4381 868.7
USC00318292 35.81 84.5592 289.6
USC00319357 34.4094 86.6486 27.4
USC00320767 47.2947 63.6214 630.9
USC00322148 48.1167 66.54 438.9
USC00322188 46.8911 62.6289 749.8
USC00323004 46.4581 64.24 603.5
USC00323196 48.9081 61.6344 716.3
USC00323705 47.4011 62.2328 813.8
USC00328737 48.3989 62.5219 684.3
USC00329035 46.3639 67.3642 417.6
USC00331541 41.0517 83.5039 359.7
USC00332098 41.2783 81.0553 213.4
